SFAM,HP_k35_queries,HP_k35_fam_rate,HP_k36_queries,HP_k36_fam_rate,FoldSeek_queries,FoldSeek_fam_rate,TEA_queries,TEA_fam_rate
0.0490196,0,0.0,0,0.0,1,1.0,0,0.0
0.0493827,0,0.0,0,0.0,5,1.0,0,0.0
0.05,0,0.0,0,0.0,5,0.8,9,0.7777777777777778
0.0505051,0,0.0,0,0.0,1,1.0,1,1.0
0.0508475,0,0.0,0,0.0,1,1.0,2,0.5
0.0520833,0,0.0,0,0.0,1,1.0,0,0.0
0.0526316,0,0.0,0,0.0,7,0.8571428571428571,10,0.9
0.0545455,0,0.0,0,0.0,1,0.0,1,1.0
0.0549451,0,0.0,0,0.0,1,1.0,0,0.0
0.0555556,0,0.0,0,0.0,3,1.0,3,1.0
0.056,0,0.0,0,0.0,1,1.0,0,0.0
0.0561798,0,0.0,0,0.0,1,1.0,1,1.0
0.0566038,0,0.0,0,0.0,1,1.0,0,0.0
0.0568182,0,0.0,0,0.0,1,1.0,0,0.0
0.0571429,0,0.0,0,0.0,2,1.0,4,0.75
0.0574713,0,0.0,0,0.0,1,1.0,5,1.0
0.0578512,0,0.0,0,0.0,1,1.0,0,0.0
0.0588235,0,0.0,0,0.0,4,1.0,4,1.0
0.0612245,0,0.0,0,0.0,1,0.0,0,0.0
0.0617284,0,0.0,0,0.0,2,1.0,0,0.0
0.0625,0,0.0,0,0.0,7,0.7142857142857143,6,0.8333333333333334
0.0631579,0,0.0,0,0.0,1,1.0,1,1.0
0.0638298,0,0.0,0,0.0,3,1.0,0,0.0
0.0641026,0,0.0,0,0.0,1,1.0,0,0.0
0.0645161,0,0.0,0,0.0,2,1.0,0,0.0
0.0648148,0,0.0,0,0.0,1,1.0,0,0.0
0.0666667,0,0.0,0,0.0,6,0.8333333333333334,6,0.8333333333333334
0.0676692,0,0.0,0,0.0,1,1.0,0,0.0
0.0677966,0,0.0,0,0.0,1,1.0,2,1.0
0.0682731,0,0.0,0,0.0,1,1.0,0,0.0
0.0689655,0,0.0,0,0.0,1,1.0,2,1.0
0.0697674,0,0.0,0,0.0,4,1.0,1,1.0
0.0705882,0,0.0,0,0.0,1,1.0,0,0.0
0.0707071,0,0.0,0,0.0,1,1.0,3,0.6666666666666666
0.0707547,0,0.0,0,0.0,1,1.0,1,1.0
0.0714286,0,0.0,0,0.0,5,0.6,5,0.8
0.072,0,0.0,0,0.0,1,1.0,0,0.0
0.0727273,0,0.0,0,0.0,1,1.0,0,0.0
0.0729167,0,0.0,0,0.0,1,1.0,0,0.0
0.0731707,0,0.0,0,0.0,4,1.0,0,0.0
0.0740741,0,0.0,0,0.0,2,1.0,0,0.0
0.0744681,0,0.0,0,0.0,2,1.0,1,0.0
0.075,0,0.0,0,0.0,2,1.0,0,0.0
0.0756972,0,0.0,0,0.0,1,0.0,0,0.0
0.0763052,0,0.0,0,0.0,1,1.0,0,0.0
0.0769231,0,0.0,0,0.0,10,1.0,4,1.0
0.078125,0,0.0,0,0.0,2,1.0,3,0.6666666666666666
0.0793651,0,0.0,0,0.0,1,1.0,0,0.0
0.08,0,0.0,0,0.0,2,1.0,4,0.75
0.0820896,0,0.0,0,0.0,1,1.0,0,0.0
0.0833333,0,0.0,0,0.0,2,0.5,9,1.0
0.0843373,0,0.0,0,0.0,1,1.0,2,1.0
0.0851064,0,0.0,0,0.0,3,1.0,1,1.0
0.0857143,0,0.0,0,0.0,3,1.0,1,1.0
0.0859375,0,0.0,0,0.0,1,1.0,0,0.0
0.0862069,0,0.0,0,0.0,1,1.0,1,0.0
0.0864198,0,0.0,0,0.0,2,1.0,0,0.0
0.0869565,0,0.0,0,0.0,1,1.0,1,1.0
0.088,0,0.0,0,0.0,1,1.0,0,0.0
0.0897436,0,0.0,0,0.0,1,1.0,1,1.0
0.0898876,0,0.0,0,0.0,1,1.0,1,1.0
0.0909091,0,0.0,0,0.0,12,0.9166666666666666,4,1.0
0.0916335,0,0.0,0,0.0,1,1.0,0,0.0
0.091954,0,0.0,0,0.0,2,1.0,0,0.0
0.0930233,0,0.0,0,0.0,1,1.0,0,0.0
0.09375,0,0.0,0,0.0,3,1.0,2,0.5
0.0943396,0,0.0,0,0.0,1,0.0,0,0.0
0.0952381,0,0.0,0,0.0,4,0.25,2,0.5
0.0957447,0,0.0,0,0.0,2,1.0,0,0.0
0.096,0,0.0,0,0.0,1,1.0,0,0.0
0.0970149,0,0.0,0,0.0,2,1.0,0,0.0
0.097561,0,0.0,0,0.0,1,1.0,1,1.0
0.0989011,0,0.0,0,0.0,1,1.0,0,0.0
0.0996016,0,0.0,0,0.0,1,1.0,0,0.0
0.1,0,0.0,0,0.0,7,0.7142857142857143,16,0.875
0.101695,0,0.0,0,0.0,2,1.0,0,0.0
0.102564,0,0.0,0,0.0,2,1.0,0,0.0
0.102804,0,0.0,0,0.0,1,1.0,0,0.0
0.103448,0,0.0,0,0.0,1,1.0,2,1.0
0.104167,0,0.0,0,0.0,2,1.0,0,0.0
